=== 330 加湿 PID 动态记录（规格书 3.8 验算，纯 Modbus）===
参数: KPS=5  TIS=100s  KDS=0  T=5s  SDF=20.0%RH

   t | Sys | 设定 实际 | E(931) | N(892) BX Z(939) 期望Z | 备注
    448 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    450 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    452 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    458 |  0 |  50.0  50.6 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    459 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    460 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    464 |  0 |  50.0  50.6 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    465 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    467 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    468 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    470 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    472 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    476 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    477 |  1 |  50.0  50.6 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    478 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    481 |  1 |  50.0  50.3 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    482 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    498 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    499 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    501 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    502 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    508 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    509 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    516 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    517 |  1 |  50.0  50.3 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    518 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    519 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    521 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    522 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    523 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    524 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    527 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    528 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    531 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    532 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    533 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    536 |  1 |  50.0  50.3 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    537 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    541 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    542 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    543 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    544 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    547 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    548 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    552 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    553 |  1 |  50.0  50.3 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    554 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    558 |  1 |  50.0  50.3 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    559 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    561 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    562 |  1 |  50.0  50.6 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    563 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    564 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    567 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    569 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    576 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    577 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    578 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    581 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    582 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    584 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    588 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    591 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    596 |  1 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=0 | 死区
    597 |  1 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=0 | 死区

结束
